index,metric,metric_value,label
0,fscore,0.8975548060708263,weather_related
0,fscore,0.89751417357174,other_aid
0,accuracy,0.8963991455599634,infrastructure_related
1,accuracy,0.8963991455599634,infrastructure_related
0,precision,0.895478443743428,weather_related
0,precision,0.8904465212876428,other_aid
0,recall,0.8889314438912295,direct_report
0,fscore,0.8801668562760713,direct_report
0,precision,0.8715734134434848,direct_report
0,accuracy,0.851693622215441,weather_related
1,accuracy,0.851693622215441,weather_related
1,accuracy,0.851235886481538,request
0,accuracy,0.851235886481538,request
1,recall,0.843895525410002,related
1,fscore,0.8379573783675109,related
1,precision,0.8338926174496645,earthquake
1,precision,0.8321022160111798,related
0,accuracy,0.8207201708880073,other_aid
1,accuracy,0.8207201708880073,other_aid
1,fscore,0.8094462540716613,earthquake
0,accuracy,0.8071406774488862,direct_report
